,ID,usertoken,prolificID,gender,age,race,education,variables,timerVal,prior_belief,prior_uncertainty_L,prior_uncertainty_R,data_rho,data_CI_L,data_CI_R,post1_belief,post1_uncertainty_L,post1_uncertainty_R,post2_belief,post2_uncertainty_L,post2_uncertainty_R,retro_prior,retro_post1,retro_post2,likert,survey
0,62f68027fc70763173e81fe0,MAXHFRS7,629fbe8ae956f7cb13de5073,female,22,white,undergrad,"['Immigrant population', 'Crime rate']",5,-0.1040579899957181,-0.4107623761229746,0.2026463961315383,0.7352742409557598,0.5873240938863983,0.8466414340796999,0.4629083528990287,0.006883496924132,0.9189332088739256,0.3663344102086407,0.0374380727070349,0.6952307477102466,"immigrant populations tend to be incredibly motivated and hard workers and respectful of the laws of the country they came to. At least in terms of the US, a lot of immigrants have a sort of reverance for the country and would be far less likely to commit crimes","I guess the study could be showing me false data to change my mind so I changed my answer, but I honestly still think what I put above.","Same as previous answer, didn't think that the study might be trying to influence my answer, but still believe what I put first",liekly,I'd love to know what the true relationships are between these things!
1,62f68027fc70763173e81fe0,MAXHFRS7,629fbe8ae956f7cb13de5073,female,22,white,undergrad,"['Avg. hours on social media', 'Depression severity']",5,0.4579788168002148,0.343576821881153,0.5723808117192764,-0.4654990482752041,-0.6447677807380318,-0.2290646331660263,0.377979565167333,0.0606784432030174,0.6952806871316486,1.0,0.1778843107793639,1.0,"This is a known studied fact, and social media tend to make me feel depressed the longer I'm on it.","I still believe that the more hours you spend on social media the more depressed you are, i don't care what the supposed data says","I felt even more confident in my previous answer the more I thought about it, and felt it might even be more positively correlated than before",very_likely,I'd love to know what the true relationships are between these things!
2,62f68027fc70763173e81fe0,MAXHFRS7,629fbe8ae956f7cb13de5073,female,22,white,undergrad,"['Years of education', 'Income']",5,0.6903061341030801,0.5411966942163111,0.8394155739898492,-0.317047499503464,-0.5237950455794893,-0.0791027502884064,0.8557926506274791,0.7212373232008569,0.9903479780541014,0.92498027411229,0.8293567823815939,1.0,"While there are exceptions here, I feel overall it has to be tru that the higher education you have the higher your income",The data presented didn't change my mind,just got more confident after sitting with the thought for a little bit,very_likely,I'd love to know what the true relationships are between these things!
3,62f6877afc70763173e820dc,lTWKkgy0,6080506f48d21d24010d64aa,female,68,black,undergrad,"['Immigrant population', 'Crime rate']",5,-0.2560493393052234,-0.4332740945486839,-0.078824584061763,0.7301218338346475,0.5425358492262354,0.8449941082170869,0.4388196829569741,0.3640144356786057,0.5136249302353424,0.6609993572598241,0.6282706590301321,0.693728055489516,high immigration population doesn't equate to high crime,low immigration  population not high crime,high population and low crime,liekly,NO
4,62f6877afc70763173e820dc,lTWKkgy0,6080506f48d21d24010d64aa,female,68,black,undergrad,"['Years of education', 'Income']",5,-0.3355253491624221,-0.3431921650649476,-0.3278585332598966,0.6818385149406972,0.5192421195502421,0.8007532176342678,-0.4379577877220604,-0.5215711343789258,-0.354344441065195,0.4161221394182488,-0.1238609899228364,0.956105268759334,high education doesn't always net high income,there is little to know relationship between high education and high inocme,still believe little or no relationship to high education and high income,liekly,NO
5,62f6877afc70763173e820dc,lTWKkgy0,6080506f48d21d24010d64aa,female,68,black,undergrad,"['Avg. hours on social media', 'Depression severity']",5,-1.0,-1.0,-1.0,0.00372960078739,-0.3374900620307461,0.3315895102595561,-0.2226922646361684,-0.26818385247585,-0.1772006767964868,-0.9713467592938568,-0.9869878705295668,-0.955705648058147,it's a fact,maybe too much of generalization,but statistically too much social media on the negative can result in depression,liekly,NO
6,62f688bffc70763173e8215c,AaBQpKax,60d79091b5af3686cb75f026,male,35,hispanic,undergrad,"['Years of education', 'Income']",5,0.7040636706728152,0.488231326795719,0.9198960145499112,-0.3424558257684323,-0.5471342639100483,-0.0918831031386552,0.5859914543230407,-1.0,1.0,0.7679669284938395,-0.3750136273864996,1.0,Because it makes sense that the more you are educated the more valuable you are thus the more you should earn.,That still doesnt make sense to me because why would more people earn less for more education?? so I decided to increase the chaos factor.,That still doesnt make sense to me because why would more people earn less for more education?? so I decided to increase the chaos factor.,very_likely,I think your data is wrong.
7,62f688bffc70763173e8215c,AaBQpKax,60d79091b5af3686cb75f026,male,35,hispanic,undergrad,"['Immigrant population', 'Crime rate']",5,0.5203796623213552,0.048942170396196,0.9918171542465144,-0.5729463705456729,-0.7190980237807704,-0.4122304978383473,-0.1210457165013622,-1.0,1.0,-0.3024802214161828,-0.7612839004651928,0.1563234576328271,Because one would think immigration would increase crime.,I believe the data is false but i gave more reasonable doubt.,I believe the data is false but i gave more reasonable doubt. and increased the chaos factor,very_likely,I think your data is wrong.
8,62f688bffc70763173e8215c,AaBQpKax,60d79091b5af3686cb75f026,male,35,hispanic,undergrad,"['Avg. hours on social media', 'Depression severity']",5,0.1367991967489774,-0.0434883852059582,0.3170867787039129,-0.7045926914361536,-0.8150912701977089,-0.554774017604786,-1.0,-1.0,-1.0,-0.4092511609365614,-0.6744189622712813,-0.1440833596018416,I know for a fact many people tell me the more they surf Facebook the more depressed they feel,I don't believe this data but I trusted it and adjusted my slider accordingly.,I don't believe this data but I trusted it and adjusted my slider accordingly. and added more chaos.,very_likely,I think your data is wrong.
9,62f689effc70763173e821fb,05KCW2KW,6286b299b72d9737157f9a66,male,31,hispanic,undergrad,"['Years of education', 'Income']",5,0.4110225654362305,0.2367411794066314,0.5853039514658296,-0.4433307040460895,-0.6286889472996025,-0.2274728077112409,-0.70078070156874,-0.9006313923234981,-0.5009300108139816,-0.3372691609797745,-1.0,0.3254616780404509,"I always thought more education meant more income, so I gave it a positive relationship.",The supporting data contradicted me and gave it a strongly negative relationship so I went with that.,I was even more unconfident after tetris so I went weakly negative and you can see I was unconfident by how it fans out.,liekly,No not really. All the data has to be faked.
10,62f689effc70763173e821fb,05KCW2KW,6286b299b72d9737157f9a66,male,31,hispanic,undergrad,"['Avg. hours on social media', 'Depression severity']",5,1.0,0.707841337920756,1.0,-0.1109902812300177,-0.3427132964983951,0.119067003270138,-0.1817413858171237,-0.5311113362791591,0.1676285646449118,-0.3352362869898406,-1.0,0.3295274260203187,I have always thought more time on social media makes you more depressed.,"Again the supporting data completely contradicts me and says the relationship is strongly negative, so I go with it unconfidently.",The tetris just makes me LESS confident.,very_likely,No not really. All the data has to be faked.
11,62f689effc70763173e821fb,05KCW2KW,6286b299b72d9737157f9a66,male,31,hispanic,undergrad,"['Immigrant population', 'Crime rate']",5,0.1378793894643668,-0.1585169756887485,0.4342757546174822,-0.7203431048475668,-0.8484805808160506,-0.5373558477331496,-1.0,-1.0,-1.0,-0.8026879935484763,-1.0,-0.4476823999745724,"I assume there would be a small increase in crime rate with more immigrants, but I am not confident.","The data shows a somewhat negative relationship so I agreed with it, but I was fed up by the previous two so I went strongly negative to really agree hard.",The tetris shook me as usual.,cant_say,No not really. All the data has to be faked.
