,ID,usertoken,prolificID,gender,age,race,education,variables,timerVal,prior_belief,prior_uncertainty_L,prior_uncertainty_R,data_rho,data_CI_L,data_CI_R,post1_belief,post1_uncertainty_L,post1_uncertainty_R,post2_belief,post2_uncertainty_L,post2_uncertainty_R,retro_prior,retro_post1,retro_post2,likert,survey
0,62f67f44fc70763173e81fdc,OwNbjsPH,5af9fab60a7ecb00011820b8,female,29,eastasian,undergrad,"['Immigrant population', 'Crime rate']",5,-0.0250496774304576,-0.3492692113622442,0.2991698565013287,0.865220081284322,0.7833846815351138,0.9159079109990268,0.4932938881224733,0.1737902452192905,0.8127975310256563,0.6174639681649516,0.2114233130230614,1.0,I don't believe that there is any correlation between high immigrant population and crime rate. ,It made me think that it might be possible that higher immigrant populations would live in higher poverty areas with increased crime rates. ,Similar thinking to before the game. ,liekly,no
1,62f67f44fc70763173e81fdc,OwNbjsPH,5af9fab60a7ecb00011820b8,female,29,eastasian,undergrad,"['Years of education', 'Income']",5,0.2890619832966055,-0.4136094586084347,0.991733425201646,-0.7822269959838687,-0.8717241234676156,-0.6446841220271373,0.4237521183028039,-0.5457377296600472,1.0,0.3541633954503576,0.0028626212137579,0.705464169686957,I've heard many studies saying that getting higher education leads to higher income. ,"It might still be true that higher income can come from more education, but with the job market getting oversaturated by overly educated employees, there probably is a lot more variation now. ","There is still a positive relationship between years of education and income, but more variable. ",liekly,no
2,62f67f44fc70763173e81fdc,OwNbjsPH,5af9fab60a7ecb00011820b8,female,29,eastasian,undergrad,"['Avg. hours on social media', 'Depression severity']",5,1.0,0.6898539352328834,1.0,0.0535622736966203,-0.2494900949019266,0.3638257130152674,0.6012761594752993,-0.3139290492069562,1.0,0.5218957867184089,0.0627691116130066,0.9810224618238108,"Perhaps it's from a more anecdotal perspective, but I know a few people who are depressed but also addicted to social media. ","I still think there's a positive relationship, but a lot more variable. ",I kept it unchanged because I think there is a positive relationship. ,liekly,no
3,62f6808bfc70763173e81fe9,RWrfFb2U,60baaa995c09d3162511871d,male,36,black,undergrad,"['Years of education', 'Income']",5,1.0,0.2960074877035359,1.0,0.1501069496222906,-0.1314794641367302,0.4019602299246659,0.6254841276787495,0.2509682553574985,1.0,-0.9814068002523362,-1.0,-0.2123088619286697,"I believe it helps, but they're are more variable in place. ",I thought the same. ,Changed when presented more evidence. ,very_likely,No.
4,62f6808bfc70763173e81fe9,RWrfFb2U,60baaa995c09d3162511871d,male,36,black,undergrad,"['Avg. hours on social media', 'Depression severity']",5,0.323254584513083,-0.1421326340433069,0.7886418030694728,-0.6975757515628688,-0.8556483852387662,-0.4176609758815508,-0.41545442758839,-0.730320837426077,-0.1005880177507032,-0.3704452276844272,-0.5867373388260146,-0.1541531165428398,I dont see much of a connection.,I feel positive about my stance. ,I felt about the same.,cant_say,No.
5,62f6808bfc70763173e81fe9,RWrfFb2U,60baaa995c09d3162511871d,male,36,black,undergrad,"['Immigrant population', 'Crime rate']",5,0.2269131292877091,-0.0711175068350558,0.5249437654104743,-0.7559066643369661,-0.8587954554603181,-0.6088160582889488,-0.433701899300324,-0.9184735580538896,0.0510697594532418,-0.3941779122619706,-0.789113751373173,0.0007579268492314,I dont see a big correlation. ,I reviewed the data ,I still went wwith the updated data. ,liekly,No.
6,62f6832dfc70763173e82018,k377qJbk,60fd6e6d7b35102b8ca961a5,female,19,white,highschool,"['Immigrant population', 'Crime rate']",5,0.2273527248922024,-0.119989030537937,0.5746944803223419,-0.6463060485127348,-0.7781163913882294,-0.4712070222716262,-0.8775326700666877,-0.9898000257478984,-0.7652653143854771,-0.7956655331608413,-0.9167435518195232,-0.6745875145021589,"I believed that countries with higher rates of immigration would have higher populations in general, and I believed that more population density would lead to more crime.",I updated my belief based on the scatterplot I was shown.,"I kept it unchanged, remembering the relationship from the scatterplot.",cant_say,No
7,62f6832dfc70763173e82018,k377qJbk,60fd6e6d7b35102b8ca961a5,female,19,white,highschool,"['Years of education', 'Income']",5,0.7588389988226043,0.5327305320308182,0.9849474656143902,-0.2677045401958661,-0.5195564144052905,-0.0051869236561079,0.0088418195929136,-0.0810753287762815,0.0987589679621085,0.0286430862793503,-0.0392457644388508,0.0965319369975516,I believed that getting a college education correlated with higher income.,I updated my belief based on the scatterplot shown.,I kept it unchanged based on the scatterplot.,very_likely,No
8,62f6832dfc70763173e82018,k377qJbk,60fd6e6d7b35102b8ca961a5,female,19,white,highschool,"['Avg. hours on social media', 'Depression severity']",5,0.2368101008260108,-0.4693711711166841,0.9429913727687058,-0.59133805649129,-0.7399971634755111,-0.3951371758790977,-0.8168631142896314,-1.0,-0.6337262285792626,-0.7730110469738936,-0.9506565347753656,-0.5953655591724218,I thought more access to social media might worsen depression for people.,I updated my belief based on the relationship in the scatterplot.,I kept my response from the previous chart.,liekly,No
9,62f68433fc70763173e82042,QFRTD80J,5c7c73b6f48c6d0001f6f49c,male,28,black,highschool,"['Years of education', 'Income']",5,0.6928051681546887,0.4383782815714268,0.9472320547379508,-0.3672682591887445,-0.5708056915474674,-0.1062630139776966,0.4755502713208488,0.31058364103422,0.6405169016074777,0.5057373469622231,0.2384016319264923,0.773073061997954,"I feel like people with more years of education qualify for better-paying jobs. Though I know it's not always the case, I feel those who have 8 or more years of college education are some of the least likely to go without a higher income, let alone a job.",This wasn't really an update. I tried to match it to my previous beliefs.,I tried to match this to my initial beliefs. The data didn't change my mind. I felt my personal experience says otherwise from the data.,liekly,No
